¼º´Ü,°Å¸®,Àº°æ,ÀºÀ§,xÁÂÇ¥,yÁÂÇ¥,zÁÂÇ¥
NGC1904,12.9,227.33,-29.35,-7.7,-8.3,-6.3
NGC288,8.9,152.3,-89.38,-0.1,0,-8.9
NGC104,4.5,305.89,-44.89,1.9,-2.6,-3.1
NGC6626,5.5,7.8,-5.58,5.4,0.7,-0.5
NGC6712,7.4,36.11,-3.92,5.9,4.3,-0.5
NGC6712,6.9,25.35,-4.32,6.3,3,-0.5
NGC6229,30.5,73.64,40.31,6.5,22.3,19.7
NGC6717,7.1,12.88,-10.9,6.8,1.6,-1.3
NGC6558,7.4,0.2,-6.02,7.3,0,-0.8
NGC6624,7.9,2.79,-7.91,7.8,0.4,-1.1
NGC6402,9.3,21.32,14.81,8.3,3.3,2.4
NGC6638,9.4,7.9,-7.15,9.3,1.3,-1.2
NGC6256,10.3,347.79,3.31,10,-2.2,0.6
NGC6517,10.6,19.23,6.76,10,3.5,1.3
NGC6496,11.3,348.03,-10.01,10.9,-2.3,-2
NGC6101,15.4,317.74,-15.82,11,-10,-4.2
NGC6584,13.5,342.14,-16.41,12.3,-4,-3.8
NGC6284,15.3,358.35,9.94,15,-0.4,2.6
NGC6864,20.9,20.3,-25.75,17.6,6.5,-9.1
NGC5694,35,331.06,30.36,26.4,-14.6,17.7
