grade,score
3,3.74
3,3.86
3,3.93
3,3.98
3,4.02
3,4.25
3,4.3
3,4.37
3,4.4
3,4.43
3,4.53
3,4.64
3,4.67
3,4.67
3,4.69
3,4.71
3,4.77
3,4.81
3,5.03
3,5.13
3,5.19
3,5.23
3,5.39
3,5.4
3,5.53
3,5.56
3,5.56
3,5.6
3,5.62
3,5.72
3,5.79
3,6.05
3,6.05
3,6.08
3,6.11
3,6.19
3,6.26
3,6.44
3,6.52
3,6.53
3,6.53
3,6.55
3,6.78
3,6.88
3,7.24
3,7.47
3,7.92
3,7.95
2,1.76
2,2.19
2,2.3
2,2.34
2,2.72
2,2.77
2,2.77
2,2.81
2,2.94
2,3.11
2,3.24
2,3.28
2,3.29
2,3.56
2,3.58
2,3.63
2,3.77
2,3.81
2,4
2,4.02
2,4.09
2,4.1
2,4.15
2,4.25
2,4.38
2,4.48
2,4.53
2,4.69
2,4.74
